Transaction Date,Amount,Province,City,Description,Category
2023-05-24,-19.61,BC,VANCOUVER,LEGENDARY NOODLE,Eating Out
2023-05-24,-10.35,BC,VANCOUVER,BEN GONG'S TEA,Eating Out
2023-05-21,-18.62,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2023-05-21,-41.87,BC,VANCOUVER,LA FLORERIA,
2023-05-21,-8.51,ON,Toronto,Deciem Inc.,
2023-05-21,-76.06,BC,Burnaby,Uniqlo Canada POS_CA_M,Clothing/Haircuts
2023-05-20,-5.88,BC,BURNABY,STARBUCKS COFFEE #2996,
2023-05-20,-15.1,BC,VANCOUVER,BURRARD LIQUOR STORE,
2023-05-20,-11.99,BC,BURNABY,TIM HORTONS #0407,
2023-05-19,-18.48,BC,VANCOUVER,BREKA BAKERY & CAFE,Eating Out
2023-05-19,-13.91,BC,VANCOUVER,MCDONALD'S #29138  Q04,
2023-05-18,-40.55,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2023-05-18,-46.2,QC,VERDUN,VIRGIN PLUS,Bills
2023-05-17,-167.67,BC,Burnaby,Uniqlo Canada POS_CA_M,Clothing/Haircuts
2023-05-16,-23.9,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2023-05-15,-29.74,BC,NORTH VANCOUV,SEYMOUR'S PUB,
2023-05-14,-59.48,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-05-13,-24.27,BC,VANCOUVER,LE COQ FRIT, Eating Out
2023-05-12,-11.45,BC,VANCOUVER,PIZZA PIZZA #562, Eating Out
2023-05-12,-11.03,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2023-05-12,-17.3,BC,MISSION,VTIX ONLINE TICKETS, Entertainment
2023-05-11,-5.65,BC,VANCOUVER,MCDONALD'S #19170  Q04,
2023-05-11,-41.06,BC,VANCOUVER,A&W STORE# 0751, Eating Out
2023-05-11,-11.0,BC,VANCOUVER,UBC RECREATION,Gym/Fitness
2023-05-10,-19.47,BC,VANCOUVER,McDonalds 29138,
2023-05-08,-16.78,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2023-05-07,-10.64,BC,VANCOUVER,QUEEN ELIZABETH THEATR,
2023-05-07,-3.15,BC,VANCOUVER,QUEEN ELIZABETH THEATR,
2023-05-06,-7.77,BC,VANCOUVER,CITY OF VAN-PARKS AN B,
2023-05-05,-38.31,BC,VANCOUVER,ROMER'S KITSILANO,
2023-05-04,-13.27,BC,VANCOUVER,JUSTIN'S NF #3807,
2023-05-04,-34.67,ON,TORONTO,UBER* EATS,Eating Out
2023-05-04,-15.97,BC,VANCOUVER,SIEGEL'S BAGELS,
2023-05-03,-57.48,BC,VANCOUVER,JUSTIN'S NF #3807,
2023-05-01,-18.83,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2023-05-01,-16.71,BC,VANCOUVER,LA WIN SUPERMARKET,Groceries
2023-05-01,-32.81,BC,VANCOUVER,PAMPERDOURS HAIR NAIL,Clothing/Haircuts
2023-04-30,-65.67,BC,VANCOUVER,NOVO PIZZERIA AND WINE,Eating Out
2023-04-30,-89.42,BC,VANCOUVER,VALUE VILLAGE #2168,Clothing/Haircuts
2023-04-30,-13.81,BC,VANCOUVER,WICKED CAFE & BAKERY,Eating Out
2023-04-29,-22.46,BC,VANCOUVER,McDonalds 21759,
2023-04-28,-11.03,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2023-04-26,-19.03,EU,EATTLE       D,STEAM PURCHASE         S,Eating Out
2023-04-27,-54.85,ON,WWW.AMAZON.CA,AMZN Mktp CA*HM8LV7F00,
2023-04-25,-24.15,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2023-04-25,-44.0,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-04-24,-36.96,BC,VANCOUVER,LE COQ FRIT,
2023-04-23,-20.52,BC,ABBOTSFORD,TON KHAO THAI CUISINE,
2023-04-24,1604.5,OU,MENT - THANK Y,PAY,
2023-04-23,-12.84,BC,ABBOTSFORD,SCHNITZELZ,
2023-04-21,-10.83,EU,EATTLE       D,STEAM PURCHASE         S,Eating Out
2023-04-21,-33.64,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2023-04-21,-24.17,BC,VANCOUVER,BURGOO POINT GREY,
2023-04-21,-47.04,QC,VERDUN,VIRGIN PLUS,Bills
2023-04-21,-16.79,CA,866-373-9211,Riot* LN3YN1Y0MSEG,
2023-04-19,-26.21,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2023-04-20,-300.0,ON,Flywire.com,FLYWIRE*BLKSHEEPADVSPT,
2023-04-17,-44.49,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-04-16,-24.84,BC,VANCOUVER,LE COQ FRIT,
2023-04-16,-26.18,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-04-15,-23.02,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2023-04-15,-27.98,BC,VANCOUVER,LONDON DRUGS   74,Household
2023-04-14,-11.03,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2023-04-13,-7.94,BC,VANCOUVER,MCDONALD'S #29138  Q04,
2023-04-13,-67.18,BC,VANCOUVER,ALMA GUITAR SHOP,Music/Band
2023-04-11,-25.42,BC,VANCOUVER,CAFFE ARTIGIANO,
2023-04-11,-7.44,BC,VANCOUVER,SUBWAY,
2023-04-10,-51.92,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-04-09,-41.82,BC,Vancouver,SQ *EARLS ROBSON STREE,
2023-04-06,-13.5,BC,VANCOUVER,MY HOME CUISINE,
2023-04-06,-36.47,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-04-05,-4.19,BC,VANCOUVER,LA WIN SUPERMARKET,Groceries
2023-04-04,-8.48,BC,VANCOUVER,CATORO CAFE,Eating Out
2023-04-04,-34.34,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2023-04-04,-3.0,ON,TORONTO,UBER* EATS,Eating Out
2023-04-03,-15.68,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2023-04-02,-16.75,BC,VANCOUVER,CHURCH'S CHICKEN,
2023-04-03,-37.8,BC,VANCOUVER,SP CATORO PETS,
2023-04-02,-5.59,BC,amazon.ca/pri,Amazon.ca Prime Member,Tech/Entertainment
2023-04-01,-12.5,BC,VANCOUVER,BOSTON PIZZA # 075,
2023-03-31,-7.83,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2023-03-31,-11.03,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2023-03-31,-28.45,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-03-30,-21.47,BC,VANCOUVER,ROMER'S KITSILANO,
2023-03-30,-15.49,BC,VANCOUVER,THE CORNER KITCHEN,
2023-03-29,-11.38,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2023-03-28,-89.95,BC,VANCOUVER,LONDON DRUGS   74,Household
2023-03-28,-35.63,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-03-27,-12.85,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2023-03-26,-29.91,BC,VANCOUVER,WHITE SPOT #165,
2023-03-25,-7.0,BC,BURNABY,SUZUYA JAPANESE MARKET,
2023-03-25,-9.41,BC,BURNABY,SUZUYA JAPANESE MARKET,
2023-03-25,-27.65,BC,Vancouver,SQ *BLAZE GOURMET BURG,
2023-03-21,-17.93,BC,VANCOUVER,LA WIN SUPERMARKET,Groceries
2023-03-20,-18.89,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2023-03-18,-15.22,BC,VANCOUVER,THIRSTYYY UBC,
