2023-05-24,2023-05-26,LEGENDARY NOODLE       VANCOUVER     BC,-19.61
2023-05-24,2023-05-26,BEN GONG'S TEA         VANCOUVER     BC,-10.35
2023-05-21,2023-05-23,SHOPPERS DRUG MART #22 VANCOUVER     BC,-18.62
2023-05-21,2023-05-23,LA FLORERIA            VANCOUVER     BC,-41.87
2023-05-21,2023-05-23,Deciem Inc.            Toronto       ON,-8.51
2023-05-21,2023-05-23,Uniqlo Canada POS_CA_M Burnaby       BC,-76.06
2023-05-20,2023-05-23,STARBUCKS COFFEE #2996 BURNABY       BC,-5.88
2023-05-20,2023-05-23,BURRARD LIQUOR STORE   VANCOUVER     BC,-15.1
2023-05-20,2023-05-23,TIM HORTONS #0407      BURNABY       BC,-11.99
2023-05-19,2023-05-23,BREKA BAKERY & CAFE    VANCOUVER     BC,-18.48
2023-05-19,2023-05-23,MCDONALD'S #29138  Q04 VANCOUVER     BC,-13.91
2023-05-18,2023-05-23,SHOPPERS DRUG MART #22 VANCOUVER     BC,-40.55
2023-05-18,2023-05-19,VIRGIN PLUS            VERDUN        QC,-46.2
2023-05-17,2023-05-17,Uniqlo Canada POS_CA_M Burnaby       BC,-167.67
2023-05-16,2023-05-17,UBER CANADA/UBEREATS   TORONTO       ON,-23.9
2023-05-15,2023-05-17,SEYMOUR'S PUB          NORTH VANCOUV BC,-29.74
2023-05-14,2023-05-15,MARKETPLACE IGA 024    VANCOUVER     BC,-59.48
2023-05-13,2023-05-15,LE COQ FRIT            VANCOUVER     BC,-24.27
2023-05-12,2023-05-15,PIZZA PIZZA #562       VANCOUVER     BC,-11.45
2023-05-12,2023-05-15,FITNESS WORLD KITSILAN VANCOUVER     BC,-11.03
2023-05-12,2023-05-15,VTIX ONLINE TICKETS    MISSION       BC,-17.3
2023-05-11,2023-05-15,MCDONALD'S #19170  Q04 VANCOUVER     BC,-5.65
2023-05-11,2023-05-12,A&W STORE# 0751        VANCOUVER     BC,-41.06
2023-05-11,2023-05-12,UBC RECREATION         VANCOUVER     BC,-11
2023-05-10,2023-05-10,McDonalds 29138        VANCOUVER     BC,-19.47
2023-05-08,2023-05-10,SUMIRE SUSHI           VANCOUVER     BC,-16.78
2023-05-07,2023-05-09,QUEEN ELIZABETH THEATR VANCOUVER     BC,-10.64
2023-05-07,2023-05-09,QUEEN ELIZABETH THEATR VANCOUVER     BC,-3.15
2023-05-06,2023-05-08,CITY OF VAN-PARKS AN B VANCOUVER     BC,-7.77
2023-05-05,2023-05-08,ROMER'S KITSILANO      VANCOUVER     BC,-38.31
2023-05-04,2023-05-05,JUSTIN'S NF #3807      VANCOUVER     BC,-13.27
2023-05-04,2023-05-05,UBER* EATS             TORONTO       ON,-34.67
2023-05-04,2023-05-05,SIEGEL'S BAGELS        VANCOUVER     BC,-15.97
2023-05-03,2023-05-04,JUSTIN'S NF #3807      VANCOUVER     BC,-57.48
2023-05-01,2023-05-03,SHOPPERS DRUG MART #22 VANCOUVER     BC,-18.83
2023-05-01,2023-05-02,LA WIN SUPERMARKET     VANCOUVER     BC,-16.71
2023-05-01,2023-05-02,PAMPERDOURS HAIR NAIL  VANCOUVER     BC,-32.81
2023-04-30,2023-05-02,NOVO PIZZERIA AND WINE VANCOUVER     BC,-65.67
2023-04-30,2023-05-01,VALUE VILLAGE #2168    VANCOUVER     BC,-89.42
2023-04-30,2023-05-01,WICKED CAFE & BAKERY   VANCOUVER     BC,-13.81
2023-04-29,2023-05-01,McDonalds 21759        VANCOUVER     BC,-22.46
2023-04-28,2023-05-01,FITNESS WORLD KITSILAN VANCOUVER     BC,-11.03
2023-04-26,2023-04-28,STEAM PURCHASE         SEATTLE       DEU,-19.03
2023-04-27,2023-04-27,AMZN Mktp CA*HM8LV7F00 WWW.AMAZON.CA ON,-54.85
2023-04-25,2023-04-27,SHOPPERS DRUG MART #22 VANCOUVER     BC,-24.15
2023-04-25,2023-04-26,MARKETPLACE IGA 024    VANCOUVER     BC,-44
2023-04-24,2023-04-25,LE COQ FRIT            VANCOUVER     BC,-36.96
2023-04-23,2023-04-25,TON KHAO THAI CUISINE  ABBOTSFORD    BC,-20.52
2023-04-24,2023-04-24,PAYMENT - THANK YOU,1604.5
2023-04-23,2023-04-24,SCHNITZELZ             ABBOTSFORD    BC,-12.84
2023-04-21,2023-04-24,STEAM PURCHASE         SEATTLE       DEU,-10.83
2023-04-21,2023-04-24,UBER CANADA/UBEREATS   TORONTO       ON,-33.64
2023-04-21,2023-04-24,BURGOO POINT GREY      VANCOUVER     BC,-24.17
2023-04-21,2023-04-24,VIRGIN PLUS            VERDUN        QC,-47.04
2023-04-21,2023-04-21,Riot* LN3YN1Y0MSEG     866-373-9211  CA,-16.79
2023-04-19,2023-04-21,SUMIRE SUSHI           VANCOUVER     BC,-26.21
2023-04-20,2023-04-20,FLYWIRE*BLKSHEEPADVSPT Flywire.com   ON,-300
2023-04-17,2023-04-18,MARKETPLACE IGA 024    VANCOUVER     BC,-44.49
2023-04-16,2023-04-17,LE COQ FRIT            VANCOUVER     BC,-24.84
2023-04-16,2023-04-17,MARKETPLACE IGA 024    VANCOUVER     BC,-26.18
2023-04-15,2023-04-17,SHOPPERS DRUG MART #22 VANCOUVER     BC,-23.02
2023-04-15,2023-04-17,LONDON DRUGS   74      VANCOUVER     BC,-27.98
2023-04-14,2023-04-17,FITNESS WORLD KITSILAN VANCOUVER     BC,-11.03
2023-04-13,2023-04-17,MCDONALD'S #29138  Q04 VANCOUVER     BC,-7.94
2023-04-13,2023-04-14,ALMA GUITAR SHOP       VANCOUVER     BC,-67.18
2023-04-11,2023-04-12,CAFFE ARTIGIANO        VANCOUVER     BC,-25.42
2023-04-11,2023-04-12,SUBWAY                 VANCOUVER     BC,-7.44
2023-04-10,2023-04-11,MARKETPLACE IGA 024    VANCOUVER     BC,-51.92
2023-04-09,2023-04-10,SQ *EARLS ROBSON STREE Vancouver     BC,-41.82
2023-04-06,2023-04-10,MY HOME CUISINE        VANCOUVER     BC,-13.5
2023-04-06,2023-04-10,MARKETPLACE IGA 024    VANCOUVER     BC,-36.47
2023-04-05,2023-04-06,LA WIN SUPERMARKET     VANCOUVER     BC,-4.19
2023-04-04,2023-04-06,CATORO CAFE            VANCOUVER     BC,-8.48
2023-04-04,2023-04-06,UBER CANADA/UBEREATS   TORONTO       ON,-34.34
2023-04-04,2023-04-05,UBER* EATS             TORONTO       ON,-3
2023-04-03,2023-04-05,SHOPPERS DRUG MART #22 VANCOUVER     BC,-15.68
2023-04-02,2023-04-04,CHURCH'S CHICKEN       VANCOUVER     BC,-16.75
2023-04-03,2023-04-03,SP CATORO PETS         VANCOUVER     BC,-37.8
2023-04-02,2023-04-03,Amazon.ca Prime Member amazon.ca/pri BC,-5.59
2023-04-01,2023-04-03,BOSTON PIZZA # 075     VANCOUVER     BC,-12.5
2023-03-31,2023-04-03,SHOPPERS DRUG MART #22 VANCOUVER     BC,-7.83
2023-03-31,2023-04-03,FITNESS WORLD KITSILAN VANCOUVER     BC,-11.03
2023-03-31,2023-04-03,MARKETPLACE IGA 024    VANCOUVER     BC,-28.45
2023-03-30,2023-04-03,ROMER'S KITSILANO      VANCOUVER     BC,-21.47
2023-03-30,2023-04-03,THE CORNER KITCHEN     VANCOUVER     BC,-15.49
2023-03-29,2023-03-30,SUMIRE SUSHI           VANCOUVER     BC,-11.38
2023-03-28,2023-03-29,LONDON DRUGS   74      VANCOUVER     BC,-89.95
2023-03-28,2023-03-29,MARKETPLACE IGA 024    VANCOUVER     BC,-35.63
2023-03-27,2023-03-28,SUMIRE SUSHI           VANCOUVER     BC,-12.85
2023-03-26,2023-03-28,WHITE SPOT #165        VANCOUVER     BC,-29.91
2023-03-25,2023-03-27,SUZUYA JAPANESE MARKET BURNABY       BC,-7
2023-03-25,2023-03-27,SUZUYA JAPANESE MARKET BURNABY       BC,-9.41
2023-03-25,2023-03-27,SQ *BLAZE GOURMET BURG Vancouver     BC,-27.65
2023-03-21,2023-03-22,LA WIN SUPERMARKET     VANCOUVER     BC,-17.93
2023-03-20,2023-03-22,SHOPPERS DRUG MART #22 VANCOUVER     BC,-18.89
2023-03-18,2023-03-20,THIRSTYYY UBC          VANCOUVER     BC,-15.22
2023-03-18,2023-03-20,SQ *UBC ANIME CLUB     Vancouver     BC,-4
2023-03-17,2023-03-20,THE DELLY              VANCOUVER     BC,-10.45
2023-03-17,2023-03-20,FITNESS WORLD KITSILAN VANCOUVER     BC,-11.03
2023-03-17,2023-03-20,VIRGIN PLUS            VERDUN        QC,-47.04
2023-03-15,2023-03-17,SHOPPERS DRUG MART #22 VANCOUVER     BC,-13.49
2023-03-15,2023-03-17,AKBAR'S OWN DINING LOU VANCOUVER     BC,-24.45
2023-03-13,2023-03-15,SHOPPERS DRUG MART #22 VANCOUVER     BC,-58.85
2023-03-13,2023-03-14,LIN RESTAURANT         VANCOUVER     BC,-51.75
2023-03-12,2023-03-14,A & W 340              VANCOUVER     BC,-18.65
2023-03-12,2023-03-13,SQ *OBANHMI VANCOUVER  Vancouver     BC,-20.21
2023-03-11,2023-03-13,UBER CANADA/UBEREATS   TORONTO       ON,-31.65
2023-03-10,2023-03-13,BODY ENERGY CLUB (KITS VANCOUVER     BC,-12.35
2023-03-10,2023-03-10,AMZN Mktp CA*HG7MY56U0 WWW.AMAZON.CA ON,-9.63
2023-03-09,2023-03-10,SUMIRE SUSHI           VANCOUVER     BC,-16.78
2023-03-09,2023-03-09,PAYMENT - THANK YOU,2288.47
2023-03-08,2023-03-09,SUMIRE SUSHI           VANCOUVER     BC,-15.64
2023-03-07,2023-03-09,THE DELLY              VANCOUVER     BC,-7.88
2023-03-07,2023-03-08,MARKETPLACE IGA 024    VANCOUVER     BC,-23.24
2023-03-06,2023-03-08,SHOPPERS DRUG MART #22 VANCOUVER     BC,-18.78
2023-03-06,2023-03-08,BODY ENERGY CLUB       VANCOUVER     BC,-9.72
2023-03-06,2023-03-07,SUMIRE SUSHI           VANCOUVER     BC,-13.9
2023-03-05,2023-03-07,PANDORA'S BOX REHEARSA VANCOUVER     BC,-52.5
2023-03-05,2023-03-06,LIBERTY BAKERY         VANCOUVER     BC,-4.98
2023-03-03,2023-03-06,MCDONALD'S #29138  Q04 VANCOUVER     BC,-22.66
2023-03-03,2023-03-06,UPPER CASE             VANCOUVER     BC,-12.37
2023-03-03,2023-03-06,THE DELLY              VANCOUVER     BC,-11.5
2023-03-03,2023-03-06,FITNESS WORLD KITSILAN VANCOUVER     BC,-11.03
2023-03-01,2023-03-06,FRESHSLICE PIZZA       VANCOUVER     BC,-11.44
2023-03-05,2023-03-05,ANNUAL FEE REBATE,25
2023-03-05,2023-03-05,ANNUAL FEE,-25
2023-03-02,2023-03-03,Amazon.ca Prime Member amazon.ca/pri BC,-5.59
2023-03-02,2023-03-03,GROCERY CHECKOUT       VANCOUVER     BC,-9.29
2023-03-01,2023-03-02,MARKETPLACE IGA 024    VANCOUVER     BC,-37.84
2023-02-28,2023-03-01,BLAZE HAIR SALON       VANCOUVER     BC,-28.75
2023-02-26,2023-02-28,CHURCH'S CHICKEN       VANCOUVER     BC,-10.81
